id_transaction,date_transaction,prix,departement,id_ville,ville,code_postal,adresse,type_batiment,vefa,n_pieces,surface_habitable,id_parcelle_cadastre,latitude,longitude,surface_dependances,surface_locaux_industriels,surface_terrains_agricoles,surface_terrains_sols,surface_terrains_nature
10751281,2022-02-16,235000.0,94,34,FRESNES,94260,68 BD JEAN JAURES,Appartement,True,4,64,940340000Y0127,48.7543324045107,2.31239039900365,{0},{},{},{},{}
9094501,2018-09-13,205000.0,75,110,PARIS 10,75010,40 RUE D ENGHIEN,Appartement,True,1,25,75110000AT0043,48.8725360155558,2.34937842050998,{},{},{},{},{}
8310933,2019-05-28,270000.0,74,37,BOEGE,74420,365 RUE DE CARRAZ,Maison,True,3,82,740370000C1837,46.2111266880758,6.40850939401914,{},{},{},{1200},{}
3990427,2020-06-30,326150.0,35,51,CESSON-SEVIGNE,35510,15 RUE DES VAUX PARES,Maison,True,5,95,35051000AW0135,48.1134217852572,-1.62699732602074,{},{},{},{},{}
7178383,2021-06-30,162000.0,62,491,LAVENTIE,62840,21A RUE DES CLINQUES,Maison,True,4,88,62491000AH0215,50.6330834000238,2.76970719474734,{},{},{},{141},{}
4068447,2019-03-07,150000.0,35,196,MORDELLES,35310,5634  LE MEE,Maison,True,6,124,35196000ZP0058,48.0832434151435,-1.79806937618272,{},{},{},"{1327,900}",{}
8578778,2014-12-30,37475.0,73,257,SAINT-MARTIN-DE-BELLEVILLE,73440,5681A  IMM L ARGOUSIER,Appartement,True,1,16,73257000AH0085,45.3200066453172,6.53758722591105,{},{},{},{},{}
10822363,2021-05-20,160000.0,93,46,LIVRY-GARGAN,93190,14 AV ANATOLE FRANCE,Appartement,True,2,41,930460000B2924,48.9252274277304,2.54069278083983,{0},{},{},{},{}
5205937,2021-06-02,129900.0,47,239,SAINT ETIENNE DE FOUGERES,47380,16 LOT DU PIGEONNIER,Maison,True,4,82,472390000B0960,44.4178000979845,0.555109953784553,{},{},{},{587},{}
10628707,2015-04-17,165000.0,85,239,SAINT-MAIXENT-SUR-VIE,85220,16 RUE DE L EUROPE,Maison,True,5,123,85239000AD0015,46.7403962988866,-1.81617470379363,{},{},{},{2547},{}
2623733,2016-09-30,225000.0,26,206,MONTMEYRAN,26120,5445  LES BATAILLES,Maison,True,3,79,26206000YK0132,44.8208383462071,4.99635368099761,{},{},{10962},{1500},{}
993287,2020-07-10,165000.0,15,85,LABROUSSE,15130,6099  LA CROIX SAINT PIERRE,Maison,True,4,85,150850000D0638,44.8647570729557,2.53139334952076,{},{},{},{1154},{}
11107176,2018-08-23,360000.0,92,12,BOULOGNE-BILLANCOURT,92100,11B RUE DE LA FERME,Appartement,True,2,44,92012000AV0129,48.8310670029977,2.23888225217238,{0},{},{},{},{}
12592502,2014-06-30,53500.0,59,361,LOURCHES,59156,511 RUE JULES GUESDE,Maison,True,2,46,59361000AM0177,50.3166100937217,3.36369643073072,{0},{},{},"{142,20}",{}
4512957,2022-03-30,359700.0,42,323,VEAUCHE,42340,7  LA GUILLONNIERE,Maison,True,5,135,42323000ZA0551,45.5685702235819,4.27191679936814,{},{},{},{800},{}
1508913,2021-10-25,357000.0,18,33,BOURGES,18000,9 RUE PIERRE FRESNAY,Maison,True,5,144,18033000ZW0292,47.0564196000945,2.41095466635685,{},{},{},{864},{}
