Table;Position;Nom;Description;DVF+;DV3F v1;DV3F v2;DV3F v3;DV3F v4;Contrainte;Correspondance FF
ann_type_local;1;codtyploc;;X;X;X;X;X;;
ann_type_local;2;libtyploc;;X;X;X;X;X;;
